date,company_name,borrower_name,loan_id,loan_product,balance,delinquency_days,ltv,maturity_date,warning_signals,relationship_manager
2026-06-01,JB우리캐피탈,성우개발,LN-24001,PF 브릿지론,120.5,18,82.4,2026-07-15,차환 협의 지연|분양률 둔화,RM-01
2026-06-01,JB우리캐피탈,한빛산업,LN-24002,SME 운전자금,45.0,35,76.0,2026-08-03,매출 감소|이자 납입 지연,RM-02
2026-06-01,JB우리캐피탈,동서홀딩스,LN-24003,부동산PF 본PF,210.0,7,79.5,2026-06-28,만기 임박|브릿지론 전환 지연,RM-03
2026-06-01,JB우리캐피탈,세원유통,LN-24004,기업 일반대출,32.0,42,68.2,2026-09-10,연체 장기화|현금흐름 저하,RM-04
2026-06-01,JB우리캐피탈,미래에셋건설,LN-24005,토지담보대출,88.0,12,91.0,2026-07-02,담보 재평가 필요|LTV 상승,RM-05
2026-06-01,JB우리캐피탈,제이알물류,LN-24006,시설자금대출,57.5,0,73.0,2026-07-25,만기 임박|재무제표 제출 지연,RM-06
2026-06-01,JB우리캐피탈,푸른제조,LN-24007,SME 운전자금,26.0,28,84.5,2026-08-20,담보 가치 하락|매출 둔화,RM-07
2026-06-01,JB우리캐피탈,더원디벨롭,LN-24008,PF 브릿지론,140.0,55,88.0,2026-06-24,차환 실패 가능성|연체 확대,RM-08
2026-06-01,JB우리캐피탈,가람레저,LN-24009,관광시설대출,18.0,14,81.2,2026-07-30,민원 증가|현장 공정 지연,RM-09
2026-06-01,JB우리캐피탈,태성리테일,LN-24010,기업 일반대출,22.0,31,69.4,2026-10-12,회수 협의 필요|매출 부진,RM-10
2026-06-01,전북은행,새만금개발,LN-34001,PF 본PF,300.0,10,75.0,2026-08-14,차환 협의 진행중|분양 속도 둔화,RM-11
2026-06-01,광주은행,호남유통,LN-44001,SME 운전자금,16.0,22,71.0,2026-09-02,이자 납입 지연|담보 보강 필요,RM-12
